RF Cable Attenuation Calibration Profile
CopyRight @ iTest 2013
CopyRight ? 2013, All Rights Reserved.
Channel,1
2412,5.039
2417,5.209
2422,5.33
2427,5.404
2432,5.316
2437,5.178
2442,5.006
2447,4.925
2452,4.965
2457,5.202
2462,5.542
2467,5.829
2472,6.001
2484,5.594
5180,6.335
5190,6.376
5200,6.179
5210,6.362
5220,6.527
5230,6.38
5240,5.959
5260,5.355
5270,5.53
5280,5.646
5290,5.473
5300,5.381
5310,5.428
5320,5.576
5500,5.826
5510,6.039
5520,6.519
5530,6.662
5540,6.446
5550,6.233
5560,6.097
5580,5.774
5590,5.504
5600,5.424
5610,5.623
5620,5.778
5630,5.702
5640,5.462
5660,5.672
5670,6.04
5680,6.253
5690,6.123
5700,6.132
5710,6.42
5745,5.352
5755,5.533
5765,5.771
5775,5.626
5785,5.343
5795,5.165
5805,5.277
5825,5.702
5835,5.754
5845,5.982
5855,6.409
5865,6.815
5885,6.344
