RF Cable Attenuation Calibration Profile
CopyRight @ iTest 2013
CopyRight ? 2013, All Rights Reserved.
Channel,1
2412,5.081
2417,5.25
2422,5.359
2427,5.442
2432,5.37
2437,5.208
2442,5.048
2447,4.985
2452,5.061
2457,5.315
2462,5.646
2467,5.936
2472,6.104
2484,5.675
5180,6.646
5190,6.617
5200,6.549
5210,6.669
5220,6.839
5230,6.624
5240,6.119
5260,5.527
5270,5.722
5280,5.857
5290,5.702
5300,5.483
5310,5.647
5320,5.965
5500,6.179
5510,6.439
5520,6.839
5530,7.01
5540,6.827
5550,6.461
5560,6.368
5580,6.013
5590,5.731
5600,5.647
5610,5.858
5620,5.984
5630,5.871
5640,5.636
5660,6.039
5670,6.541
5680,6.695
5690,6.571
5700,6.559
5710,6.72
5745,5.624
5755,5.802
5765,6.093
5775,5.949
5785,5.632
5795,5.417
5805,5.744
5825,6.006
5835,6.058
5845,6.332
5855,6.787
5865,7.205
5885,6.612
