powerindex	  power	  evm	  ppm 	  mask 	  result 
40	16.07	-29.31	0.95	0.0	POWERFAIL
40	15.98	-29.8	0.95	0.0	POWERFAIL
40	15.93	-30.17	0.9	0.0	POWERFAIL
41	16.3	-30.05	0.84	0.0	POWERFAIL
41	16.25	-29.83	0.8	0.0	POWERFAIL
41	16.21	-29.91	0.75	0.0	POWERFAIL
42	16.61	-29.96	0.63	0.0	POWERFAIL
42	16.62	-30.24	0.63	0.0	POWERFAIL
42	16.58	-29.1	0.56	0.0	POWERFAIL
43	16.95	-30.32	0.55	0.0	POWERFAIL
43	16.94	-29.53	0.48	0.0	POWERFAIL
43	16.91	-30.1	0.46	0.0	POWERFAIL
44	17.33	-30.2	0.41	0.0	PASS
44	17.31	-29.78	0.36	0.0	PASS
44	17.31	-29.86	0.39	0.0	PASS
45	17.71	-30.32	0.28	0.0	PASS
45	17.68	-30.6	0.28	0.0	PASS
45	17.68	-30.39	0.21	0.0	PASS
46	18.09	-30.26	0.24	0.0	PASS
46	18.08	-30.44	0.2	0.0	PASS
46	18.07	-30.88	0.14	0.0	PASS
47	18.5	-30.76	0.1	0.0	PASS
47	18.49	-30.81	0.1	0.0	PASS
47	18.48	-30.59	0.03	0.0	PASS
48	18.52	-31.05	0.02	0.0	PASS
48	18.52	-30.86	-0.04	0.0	PASS
48	18.51	-30.65	0.02	0.0	PASS
49	18.86	-30.22	-0.02	0.0	PASS
49	18.84	-30.4	-0.07	0.0	PASS
49	18.83	-30.93	-0.1	0.0	PASS
50	19.13	-30.85	-0.13	0.08	PASS
50	19.1	-31.25	-0.11	0.0	PASS
50	19.11	-31.26	-0.15	0.0	PASS
51	19.49	-31.42	-0.16	0.17	PASS
51	19.46	-30.7	-0.22	0.25	PASS
51	19.43	-31.52	-0.21	0.25	PASS
